,Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
10,"Analisis Pengendalian dan Perbaikan Kualitas dengan Pendekatan Metode Six Sigma
Dan 5w+1h Sebagai Upaya Peningkatan Kualitas Produk",Iman Nuvi Alfian Budi Utomo,"Sugeng Purwoko,ST.,MT","Fitri Agustina,ST.,MT","Abstrak
Permasalahan kualitas bukan hanya sesuatu yang harus dipenuhi oleh suatu perusahaan, tapi telah 
menjadi suatu strategi untuk bersaing dalam menarik konsumen.  PT. Tirta Mahakam  Resources  tbk Gresik 
mempunyai pasar utama di luar negeri  (ekspor)  sebanyak (90%), sedangkan sisanya 10% adalah pasar dalam 
negeri.  Tentunya kualitas menjadi prioritas dalam proses produksinya. Tujuan dari penelitian ini adalah upaya 
peningkatan kualitas dengan pendekatan metode  Six Sigma,  Fault Tree Analysis  dan 5W+1H.  Six Sigma
digunakan untuk mencari kapabilitas sigma pada proses produksi, Fault Tree Analysis digunakan untuk mencari 
akar penyebab masalah, sedangkan 5W+1H digunakan untuk memberikan usulan perbaikan pada proses 
produksi untuk peningkatan kualitas produk. Hasil dari penelitian ini diperoleh cacat yang terjadi adalah cacat 
permukaan kurang halus, cacat perubahan corak, cacat lebar veener, cacat terdapat pin hole, cacat terdapat mata 
kayu. Level sigma yang didapatkan nilai rata-rata DPMO dari empat periode sebesar 6.845 dengan level sigma 
2.71. Target kinerja sigma adalah 2.73 dengan prosentase peningkatan sebesar 0.738%. untuk usulan 
perbaikannya adalah membuat display jadwal pemeriksaan dan penggantian pisau potong. Membuat ukuran 
setingan log yang pas. membuat ukuran setingan mesin yang pas. Memilih log yang akan direbus sehingga 
ketika log dipotong tidak keras. Memberikan  headset  pada operator mesin. Memberikan masker pada operator 
mesin. memberikan fentilasi udara yang cukup
Kata kunci : Six Sigma, Fault Tree Analysis, 5W+1H"
11,"ANALISA PRODUKTIVITAS DAN KINERJA LINGKUNGAN PADA PROSES
PRODUKSI PUPUK UREA DENGAN PENDEKATAN GREEN PRODUCTIVITY
(Studi Kasus: PT. Petrokimia Gresik)",Vita Ariesta Ramandhani,"Ari Basuki, ST., MT.","Nachnul Anshori, ST., MT.","Pupuk urea adalah salah satu jenis produk yang dihasilkan PT. Petrokimia Gresik. Dalam menjalankan proses produksi, selain menghasilkan produk utama, perusahaan tersebut juga menghasilkan limbah  cair. Limbah tersebutberpotensi mempengaruhi kinerja lingkungannya. Tujuan dilakukannya penelitian ini yaitu untuk menganalisa produktivitas dan kinerja lingkungan dari proses produksi pupuk urea di PT. Petrokima Gresik dengan pendekatan Green Productivity. Langkah yang dilakukan pertama kali adalah mengidentifikasi sumber penyebab limbah, menetukan tujuan dan target, dan memilih alternatif solusi Green Productivity. Dengan menggunakan analisa deret seragam, alternatif yang dipilih dalam penelitian ini adalah melakukan pengisolasian pipa yang bocor pada mesin EA 101 dan mesin DC 101. Meskipun biaya yang dikeluarkan cukup mahal untuk perbaikan pipa tapi perbaikan mengurangi kadar limbah COD hingga 2 persen dan meningkatkan nilai EPI (Environmental Performance Indicator) dengan kondisi awal 1,7 menjadi 2,1. Selain itu alternative ini juga mampu meningkatkan indeks produktivitas perusahaan dengan kondisi awal indeks sebesar 11,97% menjadi 12,07%.

Kata kunci : KinerjaLingkungan,Green Productivity, Indeks EPI, Produktivitas"
12,Identifikasi Preferensi Konsumen Dalam Minat Beli Rumah Dengan Pendekatan Metode Decision Tree (Studi Kasus : Perumahan Permata Indah Bangkalan),Bertha Primaria Bainana,"Ari Basuki, ST., MT.","Dr. Rachmad Hidayat, ST., MT.","Salah satu dampak dari pembangunan jembatan Suramadu adalah meningkatnya jumlah urbanisasi ke wilayah kabupaten Bangkalan, sehingga juga mengakibatkan peningkatan kebutuhan terhadap produk rumah. Untuk bisa memenuhi kebutuhan konsumen tersebut, perlu dilakukan suatu kajian tentang keinginan konsumen terhadap bentuk dan kondisi perumahan yang diminati oleh konsumen. Penelitian ini dilakukan untuk mengetahui berbagai pola keinginan minat beli konsumen terhadap perumahan tipe 45 dengan melibatkan 7 atribut yang dijadikan pertimbangan yaitu kedekatan lokasi dengan fasilitas disekitar perumahan, ketersediaan bentuk pagar perumahan, fasilitas keamanan, bentuk pembayaran rumah, ketersediaan fasilitas air, bentuk jalan perumahan, model rumah. Proses identifikasi keinginan konsumen dilakukan dengan menggunakan metode decision tree, dan menghasilkan 8 macam pola keinginan konsumen. Selanjutnya pengembang rumah akan menentukan prioritas pola keinginan konsumen yang akan diwujudkan lebih dahulu dengan menggunakan metode AHP. Hasilnya, yaitu perumahan tipe 45 yang lokasinya dekat dengan jalan raya dan pasar tradisional.

Kata kunci:Minat beli konsumen, decision tree, AHP"
13,PERANCANGAN MODEL KONSEPTUAL PENGARUH KEEFEKTIFAN KNOWLEDGE TRANSFER TERHADAP COMPETITIVE ADVANTAGE IKM  DI BANGKALAN,Devi Narulita Putri,"Retno Indriartiningtias, ST., MT.","Sabarudin Akhmad, ST., MT.","Transfer pengetahuan merupakan proses berpindahnya pengetahuan dari sumber ke penerima. Perkembangan industri kecil di Indonesia khususnya di Bangkalan tidak terlepas dari peranan proses transfer pengetahuan yang diterima oleh industri kecil melalui berbagai macam pelatihan. Kelemahan yang dimiliki oleh  industri kecil akan teratasi dengan  adanya proses transfer pengetahuan sehingga industri kecil mampu bersaing dengan kompetitornya. Penelitian ini bertujuan untuk mengetahui faktor-faktor yang mempengaruhi keefektifan transfer pengetahuan dan keunggulan bersaing industri kecil. Jumlah minimal responden yang dibutuhkan dalam penelitian ini sebanyak 130 responden. Berdasarkan studi literatur yang ada, terbentuk 6 variabel laten dan 26 indikator yaitu : mekanisme transfer (pelatihan, seminar, penyuluhan, pendampingan), sumber transfer (kemampuan sumber, pengalaman sumber, komunikasi yang efektif, asal sumber transfer), bentuk transfer (pemasaran, proses produksi, manajemen organisasi, keuangan), lingkungan(kebijakan pemerintah, cara pandang, bahasa, cara hidup, kebiasaan masyarakat, kondisi tempat kerja), keefektifan transfer knowledge (performansi sdm, performansi produksi , performansi keuangan) dan competitive advantage (kualitas produk, kualitas layanan, ketepatan pengiriman, kemampuan berinovasi, mengikuti perkembangan)"
14,ANALISIS POSTUR KERJA DAN FISIOLOGI KERJA PADA PEKERJA PENAMBANG BATU DI KECAMATAN AROSBAYA-BANGKALAN (Studi Kasus : Penambang Batu Kecamatan Arosbaya-Bangkalan),Rosalia Arista Dewi,"Fitri Agustina, S.T, M.T","Nachnul Anshori, S.T, M.T","Desa Air Mata merupakan penghasil batu kapur terbesar di Kabupaten Bangkalan. Pada proses penambangan batu di daerah tersebut banyak dijumpai kondisi-kondisi yang tidak ergonomis pada postur kerja dan fisiologi kerja. Postur kerja yang tidak alamiah adalah ketika pekerja berada dalam keadaan berdiri, membungkuk, mengangkat dan mengangkut dalam waktu yang lama dan frekuensi yang sering, sedangkan pada fisiologi kerja meliputi besarnya oksigen yang mereka butuhkan seringkali terabaikan. Mereka lebih mengutamakan pencapaian target yang mereka inginkan karena pencapaian target berbanding lurus dengan penghasilan yang mereka dapatkan. Hal ini membuat tingkatan konsumsi oksigen menjadi berkurang karena terlalu besarnya energi yang dikeluarkan. Tujuan dari penelitian ini adalah mengevaluasi postur kerja pada pekerja penambang batu berdasarkan metode NIOSH dan OWAS, mengevaluasi fisiologi kerja khususnya tingkat konsumsi oksigen yang dibutuhkan oleh para pekerja penambang batu dan memberikan rekomendasi berupa solusi perbaikan. Hasil penelitian ini yaitu diperoleh postur-postur kerja yang dapat menimbulkan atau memicu terjadinya MSDs pada pekerja penambang batu berdasarkan penilaian menggunakan metode NIOSH dan OWAS, kemudian pada kategori beban kerja berdasarkan konsumsi oksigen pada fisiologi kerja, didapatkan bahwa beban kerja pada pekerja penambang batu termasuk kategori beban kerja ringan, sedangkan untuk usulan perbaikan dikhususkan pada postur kerja pada masing-masing pekerja penambang batu. Kata kunci : NIOSH Equation (National Institute for Occupational Safety and Health), OWAS (Ovako Working Postural Analysis System), dan Fisiologi Kerja"
15,Desain Perancangan Produk Lemari 4in1 Dengan Menggunakan Metode Anthropometri,Lucky Kurnia Diharja,"Sugeng Purwoko, S.T.,M.T.","Mu'alim, S.T.,M.T.","Lemari, Tempat Tidur, Meja Belajar dan Rak buku merupakan suatu sarana pendukung yang sangat penting dalam kehidupan sehari-hari. sehingga penggunaan produk tersebut merupakan hal yang penting  dalam pemilihan jenis produk, salah satu aspek penting yang banyak dinilai oleh konsumen dalam penggunaan produk adalah kemudahan dan kepraktisan dalam fungsinya. Selanjutnya dalam penelitian ini dirancang produk lemari multifungsi dengan pendekatan anthropometri dan perhitungan Percentile. Anthropometri digunakan untuk mengetahui dimensi tubuh konsumen yang nantinya akan diimplementasikan pada ukuran rancangan produk yang akan dibuat agar sesuai dengan ukuran tubuh penggunanya. Sedangkan Percentile digunakan untuk penentuan ukuran produk yang akan dirancang setelah dilakukan perhitungan. Telah terpilih morphological chart alternatif 1 sebagai alternatif pilihan. Selanjutnya menganalisis stress analisis jenis kayu meranti menggunakan software inventor untuk mengetahui deformasi, dapat diketahui bahwa besar nya Von Mises Stress adalah 2,935-5 mpa. Pada perhitungan awal besarnya   adalah 4,678-5 mpa, sehingga besarnya nilai Von Mises Stress tidak melebihi nilai   yang berarti mampu menahan beban yang ada."
16,PENJADWALAN PRODUKSI JOB SHOP UNTUK MINIMASI TOTAL PENALTY DENGAN MENGGUNAKAN ALGORITMA GENETIKA,JAMILATUN NISA',"SAMSUL AMAR, S.T.,M.Sc","HERI AWALUL ILHAMSAH, S.T.,M.T","Penelitian ini membahas tentang penyusunan jadwal produksi di UD. Madu Persada dengan tipe produksi job shop. Perusahaan ini memiliki kewajiban untuk memberikan pelayanan yang memuaskan kepada konsumen diantaranya dengan menyelesaikan pesanan tepat pada waktunya. Apabila suatu order mengalami keterlambatan maka dapat menimbulkan ketidakpuasan konsumen yang dapat merugikan perusahaan. Kerugian ini direpresentasikan melalui suatu besaran penalty. Nilai penalty menunjukkan tingkat kefatalan apabila terjadi keterlambatan yang dapat mengakibatkan ketidakpuasan konsumen. Selama ini, perusahaan tersebut menyusun  jadwal produksinya menggunakan metode FIFO (First In First Out). Dengan metode ini didapatkan nilai makespan sebesar 185.22 jam dan penalty sebesar 5 (sangat fatal) yang berarti adanya keterlambatan penyelesaian pemenuhan order selama 3 hari. Metode yang diusulkan dalam rangka menemukan solusi menggunakan Algoritma Genetika dengan nilai  parameter crossover (Pc) sebesar 0,95 dan parameter mutasi (Pm)  sebesar 0,01. Metode pengkodean yang digunakan adalah permutation encoding, penyeleksian dengan roulette wheel selection, metode crossover yaitu partially mapped crossover (PMX) dan proses mutasi dengan metode swap mutation.  Hasil dari penelitian ini mengkonfirmasikan bahwa jadwal tidak terkena penalty  (nilai penalty 0) dengan nilai makespan sebesar 184.416 jam . Didasarkan kondisi di atas,  maka dapat disimpulkan bahwa penjadwalan dengan Algoritma Genetika memberikan hasil yang lebih optimal daripada metode FIFO yang selama ini diterapkan perusahaan. 
Kata kunci: Penjadwalan, job shop, algoritma genetika, makespan, penalty"
17,PERANCANGAN TATA LETAK FASILITAS LANTAI PRODUKSI PT. ABC MENGGUNAKAN METODE GRAFIK DAN ALGORITMA SIMULATED ANNEALING,ANDY SUGIANTO,"SABARUDIN AKHMAD, ST.,MT","SUGENG PURWOKO, ST.,MT",PT. ABC merupakan sebuah perusahaan industri manufaktur yang memproduksi sandal dan tipe produksinya adalah make to stock. Kelemahan tata letak perusahaan saat ini dapat dilihat dari pola aliran material yang tidak teratur sehingga menyebabkan aktivitas Back dan Jump Tracking serta jauhnya jarak perpindahan bahan antar stasiun kerja yang memiliki hubungan keterkaitan tinggi. Tujuan dari penelitian yaitu untuk menghasilkan tata letak yang lebih baik dengan menerapkan metode Grafik dan Algoritma Simulated Annealing untuk mendapatkan jarak perpindahan bahan dan total momen perpindahan material seminimal mungkin serta mengurangi aktivitas back dan jump tracking. Pada keadaan awal lantai produksi di didapatkan total momen perpindahan bahan sebesar 200.505 meter perbulan dan mengalami 4 aktivitas Back dan Jump Tracking. Dari hasil analisa dan pengolahan data dapat disimpulkan hasil rancangan tata letak menggunakan metode Grafik menghasilkan pengurangan momen sebesar 26% dan mengalami 1 aktivitas Back dan Jump Tracking. Sedangkan hasil rancangan tata letak menggunakan metode Algoritma Simulated Annealing menghasilkan pengurangan momen sebesar 17% dan mengalami 1 aktivitas Back dan Jump Tracking.
18,PENERAPAN GREEN PRODUCTIVITY UNTUK EVALUASI PRODUKTIVITAS DAN KINERJA LINGKUNGAN PT. XYZ,Irsyadul Ibad,"Ari Basuki, S.T., M.T.","Sugeng Purwoko, S.T., M.T.","Kinerja suatu perusahaan bisa dilihat dari tingkat produktivitasnya, semakin tinggi produktivitas maka kinerja perusahaan tersebut juga semakin baik. Namun kinerja lingkungan juga harus diperhatikan disamping produktivitas. Agar kedua aspek tersebut bisa berjalan berdampingan maka perlu digunakan pendekatan green productivity. Penelitian ini mempunyai tujuan untuk mengevaluasi tingkat produktivitas, mengidentifikasi kandungan limbah yang berdampak pada lingkungan dan menyusun alternatif solusi untuk mengurangi dampak limbah. Hasil penelitian memperlihatkan bahwa tingkat produktivitas perusahaan mengalami fluktuasi dengan rata-rata sebesar 1,19 dan kandungan limbah besi memiliki nilai yang melebihi baku mutu yang ditetapkan, meskipun EPI bernilai positif (0,66). Untuk meningkatkan produktivitas dan kinerja lingkungan, disusun 2 alternatif solusi yaitu penguapan air dan filtrasi pasir. Setelah dilakukan perhitungan masing-masing alternatif menggunakan metode BCR (benefit cost ratio) didapatkan bahwa alternatif 1 (penguapan air) memiliki nilai BCR sebesar 0,91 dan alternatif 2 (filtrasi pasir) sebesar 1,33. Alternatif 2 menjadi alternatif terbaik dilihat dari nilai BCR yang lebih tinggi dan memiliki nilai lebih dari 1.

Kata Kunci : produktivitas, kinerja lingkungan, green productivity, benefit cost ratio
"
19,"ANALISIS KEANDALAN PENGRAJIN BATIK TULIS UNTUK MENURUNKAN RESIKO HUMAN ERROR DENGAN MENGGUNAKAN METODE HUMAN RELIABILITY ASSESSMENT (Study Kasus Sentra Industri Batik  Desa Kowel, Pamekasan)","MUHAMAD ARDI SANTOSO, S.T.","FITRI AGUSTINA, S.T., M.T.","NACHNUL ANSHORI, S.T., M.T.","Batik telah menjadi ikon budaya bagi masyarakat dipulau Madura. Dirumah produksi batik bapak H. Fathor, di Desa Kowell Pamekasan, seperti pembuatan batik tulis pada umumnya tedapat lima proses produksi. Kelima proses produksi tersebut adalah penutupan awal, pewarnaan, penutupan akhir, perebusan dan penjemuran. Proses pembuatan batik dikerjakan secara manual. Sehingga kesalahan yang dilakukan oleh pekerja akan berpengaruh secara langsung tehadap kelancaran produksi. Tujuan dari penelitian ini adalah mengukur tingkat keandalan pengrajin batik dengan menggunakan metode Human Reliability Assessment. Metode Human Reliability Assessment yang digunakan dalam penelitian ini adalah HEART dan SPAR-H. Selain itu pada penelitian ini juga mengevaluasi postur kerja dan lingkungan kerja ditempat produksi batik.  Berdasarkan hasil perhitungan didapatkan nilai Human Error Probability  terbesar  terdapat pada bagian penutupan awal dan penutupan akhir dengan nilai mencapai  40%. Setelah dilakukan perhitungan postur kerja dengan menggunakan Quick Expossure Checklist (QEC) kedua bagian tersebut memerlukan investigasi dan perbaikan segera. Alternative perbaikan yang diusulkan adalah perbaikan postur kerja, sehingga dapat mengurangi keluhan musculoskeletal pengrajin. Selain itu usulan perbaikan terkait dengan penambahan penerangan juga diberikan mengingat nilai tingkat pencahayaan pada bagian penutupan awal dan pewarnaan yang masih dibawah nilai minimal.

Kata kunci: Human Reliability Assessment (HRA), HEART, SPAR-H, Human Error Probability (HEP) , QEC."
20,ANALISIS REKAYASA NILAI (VALUE ENGINEERING) TERHADAP PRODUK TIKAR LIPAT,AGYL SYAHRIAR.S.T.,"IMRON KUSWANDI.S.T.,M.T.","FITRI AGUSTINA.S.T.,M.T.","UKM Arrisca merupakan salah satu UKM yang memproduksi Tikar lipat di Kabupaten Lamongan. Setelah puluhan tahun memproduksi Tikar lipat, UKM Arrisca mulai mengalami kendala, diantaranya adalah persaingan antar UKM sejenis dalam penjualan produk Tikar lipat. Karena kerajinan tikar lipat dinilai mempunyai potensi yang sangat besar sehingga bermunculan UKM baru yang berakibat pada persaingan antar UKM dan menyebabkan penurunan permintaan terhadap produk UKM Arrisca. Salah satu solusi kendala tersebut adalah dengan merancang alternatif desain Tikar lipat baru yang lebih ekonomis namun secara kualitas tidak berbeda dengan produk tikar lipat yang ada pada saat ini, dengan metode rekayasa nilai. Metode ini dipilih karena rekayasa nilai memiliki kelebihan dalam menentukan alternatif terbaik dengan mengendalikan biaya produksi yang digunakan terhadap nilai fungsi dari produk tanpa menghilangkan kualitas dan kehandalan produk yang dikehendaki. Hasil penelitian ini berupa alternatif desain tikar lipat terpilih yang ditentukan berdasarkan nilai tertinggi dari beberapa alternatif usulan. Alternatif desain tikar yang terpilih adalah alternatif 1 dengan nilai  sebesar 1,604.

Kata Kunci : Tikar lipat, Alternatif, Rekayasa Nilai, nilai
"
21,"PERANCANGAN TATA LETAK GUDANG PRODUK JADI PT. X DENGAN PENDEKATAN SHARED STORAGE
",NURRAHMATULLAH,"SABARUDIN AKHMAD, ST.,MT","SUGENG PURWOKO, ST.,MT","PT. X merupakan salah perusahaan manufaktur yang bergerak dibidang industri rokok yang mempunyai tiga lini produksi atau tiga devisi dan memiliki satu penyimpanan produk jadi yang nantinya dari tiga lini produksi akan disimpan dalam satu gudang. Dalam pengamatan yang dilakukan dalam penempatan produk jadi digudang masih belum teratur atau masih kurang rapi dalam melakukan penyusunan produk, sehingga hal seperti ini menyebabkan ketidak efektifan waktu dalam pengambilan produk di suatu area gudang dan menyulitkan pekerja, kepala gudang dalam melakukan pengecekan barang yang akan dikirim kepada pelanggan. Permasalahan yang dihadapi oleh perusahaan PT. X saat ini adalah ketidak teraturan dalam penyusunan produk, hal ini akan menghambat waktu proses proses pengiriman, allowance forklift yang terlalu melebar sehingga pemanfaatan ruang menjadi kurang efektif dan ada beberapa gang yang tidak sesuai dengan ukuran material handling sehingga menyulitkan operator forklift dalam melakukan proses pengambilan produk jadi dalam gudang. Kondisi lain juga terdapat pada penempatan produk dalam suatu area yang kurang tepat, dimana seharusnya barang yang memiliki frekuensi pengiriman terbanyak dan yang sering keluar-masuk di dekatkan dengan pintu keluar. Hal seperti ini yang sering menyebabkan material handling lebih jauh dan kurang efektif. Adapun tujuan dari penelitian ini adalah untuk memberikan usulan perbaikan tata letak gudang produk jadi yang lebih efektif terhadap pemindahan material handling. Metode yang digunakan dalam pengelolaan pergudangan adalah pendekatan shared storage dimana produk yang memiliki frekuensi pengiriman terbanyak dan yang sering keluar masuk didekatkan dengan pintu masuk untuk meminimalisasi jarak perpindahan material handling.Hasil dari pendekatan shared storage dapat meminimalisasi jarak tempuh material handling rata-rata per bulan adalah 1202,4 m sedangkan konsisi sebelumnya jarak tata letak awal adalah 1720.8 m/bulan."
22,Analisis Ergonomi Kognitif untuk Mengetahui Performansi Short Term Memory Mahasiswa Hafidz Al-Qur’an di Universitas Trunojoyo Madura dengan Metode Taguchi,Fitriana Ningsih,Nachnul Ansori S.T M.T,Fitri Agustina S.T M.T,"Mahasiswa berbeasiswa hafidz al-qur'an memiliki kemampuan lebih pada menghafal al-qu'ran  dan memiliki aktivitas lebih banyak dari pada mahasiswa biasa. Maka, penelitian ini membahas tentang kajian ergonomi kognitif untuk mengetahui perbandingan short term memory antara mahasiwa hafidz alquran dengan mahasiswa biasa. Selain itu, penelitian ini juga untuk mengetahui pengaruh kebisingan (80,3 db dan 53 db), pencahayaan (180 luxmeter dan 360 luxmeter) dan suhu (30 oC dan 24 oC) terhadap performa Short term memory mahasiswa hafidz Al-qur’an UTM. Dari hasil uji T berpasangan disimpulkan bahwa tidak ada perbedaan short term memory antara keduanya. Selanjutnya, dilakukan perhitungan setiap varibel respon akan diolah masing-masing untuk menghitung S/N Rasio, ANOVA, pooling faktor dan persen kontribusi, penentuan kombinasi faktor optimal. Dari hasil ANOVA diperoleh dengan tingkat siginifakan 5% tidak ada faktor yang berpengaruh secara signifikan terhadap respon short term memory karena nilai F hitungnya lebih kecil dari F tabel (1,8) (0,5) = 5.32 (Ho diterima). Berdasarkan hasil dari desain eksperimen metode Taguchi dapat diketahui bahwa  diidentifikasi faktor – faktor yang berpengaruh terhadap performa short term memory mahasiswa hafidz al-quran UTM adalah faktor kebisingan dan temperature. Kombinasi level faktor yang menghasilkan nilai rata – rata dan variansi performa short term memory yang optimal sama, yaitu diperoleh dari setting faktor kebisingan pada level 2 sebesar 53 db dan temperatur 24 oC. Dari hasil penelitian, diketahui faktor kebisingan pada level 2 sebesar 53 db dan temperatur 24 oC tidak mempengaruhi short term memory mahasiswa dan yang mempengaruhi adalah IQ.
Kata kunci: Short Term Memory, Hafidz Alquran, Non Hafidz Alquran, Desain Eksperimen Taguchi.
"
23,"ANALISIS PRODUKTIVITAS DAN LIMBAH HASIL PRODUKSI DENGAN PENDEKATAN GREEN PRODUCTIVITY (Studi Kasus: PT.Kelola Mina Laut, Sampang)",FITTRIA RAHMAH,"Ari Basuki, S.T., M.T.",M.Imron Mustajib ST.MT,"Ikan teri nasi adalah produk yang dihasilkan oleh PT. Kelola Mina Laut,Sampang. Proses produksi dari pengolahan ikan teri nasi tersebut tersebut menghasilkan limbah  cair dan limbah padat.  Limbah cair yang dihasilkan oleh perusahaan dari hasil proses perebusan mengandung parameter BOD, COD, DO, Minyak dan Lemak, pH, dan Suhu. Dikhawatirkan limbah yang dihasilkandapat menganggu kinerja lingkungannya maka perlu dilakukan pengolahan limbah yang tepat. Tujuan dari penelitian ini yaitu untuk menganalisa produktivitas dan kinerja lingkunganyang dihasilkan dari proses produksi ikan teri nasi di PT. Kelola Mina Laut, Sampang, dengan pendekatan Green Productivity. Pada penelitian ini dilakukan identifikasi adanya permasalahan pada perusahaanyang berhubungan dengan jumlah limbah, menetukan tujuan dan target, dan memilih alternatif solusi Green Productivity. Dengan menggunakan analisa net present value, alternatif yang dipilih dalam penelitian ini adalah alternatif 2 yaitu dengan membuat alat plasma dan ozon dengan nilai sebesar Rp. -3.117.082.Nilai capaian produktivitas prusahaan menurun yaitu dari kondisi awal sebesar 1,06% menurun menjadi 1,00% tetapi perbaikan tersebut, diharapkan mampu meningkatkan kinerja lingkungan (Environmental Performance Indicator).Dampaknya mampu meningkatkan kepercayaan konsumen yang diharapkan dapat meningkatkan volume penjualan.Hasil dari penerapan metode 3R diharapkan mampu meminimalisir penggunaan air dengan menggunakannya kembali untuk proses produksi.
Kata kunci : KinerjaLingkungan,Green Productivity, Indeks EPI, Produktivitas, Metode 3R
"
24,"PENDEKATAN DESIGN FOR SUSTAINABILITY PADA PERANCANGAN ICE BOX BERBAHAN KOMPOSIT SEKAM PADI-RESIN
( Studi Kasus : Nelayan Desa Blimbing Kec. Paciran Kab. Lamongan)",Arif Nur Fadlan,"Sugeng Purwoko,S.T.,M.T","Mu'alim,S.T.,M.T","Adanya para oknum nelayan yang menggunakan formalin untuk mengawetkan ikan mereka agar tetap segar  dan tidak mudah membusuk, padahal zat formalin sangatlah berbahaya jika dikonsumsi oleh manusia. Selain menggunakan formalin, cara para nelayan untuk menjaga agar ikan mereka tetap segar, mereka menggunakan ice box. Kebanyakan ice box yang mereka gunakan terbuat dari bahan styrofoam, ice box dari bahan styrofoam ini mudah sekali rusak dan tidak tahan lama, serta es batu didalamnya yang berfungsi sebagai pendingin mudah mencair. Dari masalah itulah perancangan ice box berbahan sekam padi-resin ini dengan pendekatan metode design for sustainability. Dan selanjutnya diuji dengan uji hipotesis menggunakan independent sample t test antara prototipe dengan produk pembanding yaitu ice box berbahan styrofoam. Kesimpulan dari uji hipotesis terdapat perbedaan yang signifikan dari varian ataupun rata-rata dari lamanya waktu es batu mencair pada produk prototipe dan styrofoam. Dan produk prototipe lebih baik dari produk pembanding yaitu ice box berbahan styrofoam dengan rata-rata perbedaannya adalah 1325,4 detik.

Kata kunci : Sekam Padi, Resin, Design For Sustainability, independent sample t test"
25,MPLEMENTASI SYSTEM ERP (ENTERPRISE RESOURCES PLANNING) MODUL PURCHASING DAN SALES DENGAN MENGGUNAKAN ADEMPIERE,MOHAMMAD ZAINAL ARIEF,"SABARUDIN AKHMAD, ST.,MT","MU'ALIM, ST.,MT","PT. X merupakan perusahaan yang memproduksi jamu berskala lokal dan nasional di Bangkalan Madura, dimana saat ini semua proses bisnisnya masih dibukukan secara manual dan disimpan dalam bentuk lembaran-lembaran file baik dari kegiatan distribusi, produksi, akuntansi, dan human resource. Oleh karena itu dalam penelitian akan mengusulkan suatu system informasi yang mengotomatisasikan semua proses bisnis dari perusahaan ini, yang nantinya diharapkan dengan diterapkannya ERP di perusahaan ini akan mengotomatisasikan proses bisnis perusahaan sehingga mempercepat proses akses data. Dengan menggunakan Software ERP open sources Adempiere sistem terintegrasi di dalam perusahaan proses dan pengambilan keputusan dapat dilakukan secara lebih efektif dan efisien. Dapat di implementasikan Rancangan proses bisnis untuk proses pembelian dimulai dengan pembuatan dokumen purchase requisition, purchase order, payment, dan material receipt. Sedangkan proses bisnis proses penjualan dimulai dengan pembuatan sales order, payment, dan shipment dan Penerapan system ERP dengan menggunakan software Adempiere tersebut membuat data menjadi lebih terorganisir dan terintegrasi kesemua bagian sehingga memberikan kemudahan dalam proses akses data bisnis PT. X"
26,Knowledge Management: Perancangan Model Knowledge Sharing di Bappeda Bangkalan,Luluk Setyarini,"Retno Indriartiningtias, S.T., M.T.","Ari Basuki, S.T., M.T.","ABSTRAK
Knowledge sharing merupakan proses menyebarkan dan membuat pengetahuan yang tersedia untuk berbagai kalangan yang membutuhkan di dalam organisasi. Badan Perencanaan Pembangunan Daerah (Bappeda) Bangkalan merupakan salah satu organisasi pemerintah. Tugas utama Bappeda Bangkalan adalah mengkoordinasikan pembangunan di Kabupaten Bangkalan. Agar proses koordinasi dapat berjalan dengan baik, maka perlu diciptakan model komunikasi yang baik. Model komunikasi ini dapat kita sebut sebagai model knowledge sharing di Bappeda Bangkalan. Penelitian ini bertujuan untuk mengetahui faktor-faktor yang mempengaruhi knowledge sharing di Bappeda Bangkalan, merancang model knowledge sharing dan merancang media informasi berbasis website untuk dapat memperlancar keberhasilan knowledge sharing di Bappeda Bangkalan. Dalam penelitian ini digunakan 30 responden sebagai sampel yang seluruhnya merupakan jajaran pegawai di Bappeda Bangkalan, mulai dari Kepala Bappeda hingga pada staf Bappeda Bangkalan. Dari hasil penelitian dengan menggunakan pendekatan Partial Least Square (PLS) diperoleh tiga faktor yang berpengaruh secara signifikan terhadap knowledge sharing di Bappeda Bangkalan. Faktor tersebut adalah teknologi, organisasi dan individual factors. Untuk mendukung faktor teknologi, dirancang sebuah website khusus knowledge sharing yang memuat menu chatt dan menu forum.
Kata kunci : Knowledge Sharing, Bappeda Bangkalan, Partial Least Square (PLS).
"
